player_id,name,position,age,att,def,pace,phy,ovr,star_power,salary,team_id
33,Pavel Rossi,FW,34,65,29,62,64,53,49,603000,
34,Amara Reyes,MF,27,58,57,60,73,61,73,1010000,
35,Rafael Nowak,MF,20,74,65,57,63,66,56,932000,
36,Stefan Adamu,DF,28,36,79,49,60,56,66,933000,
37,Emil Barros,MF,21,62,61,68,60,62,56,761000,
38,Kwame Reyes,MF,27,67,62,71,45,62,40,722000,
39,Kwame Braga,GK,32,36,77,86,89,68,65,806000,
40,Tariq Osei,DF,20,56,72,62,45,60,64,935000,
41,Rafael Barros,DF,21,39,83,71,78,66,46,771000,
42,Jonas Mensah,FW,21,74,40,65,82,63,40,779000,
43,Youssef Vidal,MF,32,64,69,63,69,66,63,1002000,
44,Emil Duarte,DF,28,56,84,72,91,74,45,866000,
45,Mateo Haddad,MF,28,64,47,75,73,62,68,944000,
46,Nikolai Silva,DF,19,59,86,55,64,68,46,910000,
47,Lars Novak,MF,20,69,64,77,69,69,62,868000,
48,Kofi Adamu,DF,31,50,71,66,80,65,74,898000,
49,Emil Kucera,GK,29,40,63,58,87,59,70,767000,
50,Kofi Bauer,DF,20,53,73,64,81,66,68,923000,
51,Diego Berg,MF,28,51,63,80,57,61,55,668000,
52,Tariq Mensah,MF,23,69,52,59,53,59,60,779000,
53,Luca Berg,MF,29,66,46,47,47,53,42,717000,
54,Hassan Larsson,GK,25,32,61,81,90,61,53,813000,
55,Radek Osei,DF,30,59,78,69,75,70,42,735000,
56,Pavel Larsson,FW,30,62,45,68,61,57,42,721000,
57,Mateo Diallo,MF,30,64,74,79,66,70,66,967000,
58,Milan Neumann,GK,32,45,62,95,75,65,76,825000,
59,Amara Braga,FW,19,79,44,91,83,71,55,967000,
60,Yusuf Haddad,DF,26,39,85,81,64,66,44,667000,
61,Sami Toure,MF,30,52,75,59,73,64,79,1066000,
62,Adrian Silva,MF,33,59,47,93,55,61,51,867000,
63,Omar Diallo,MF,33,75,49,49,90,65,75,772000,
64,Radek Adeyemi,GK,24,35,56,77,50,52,74,687000,
65,Kenji Berg,MF,30,61,70,66,80,68,83,1069000,
66,Sami Sato,MF,26,51,54,69,84,61,58,923000,
67,Nikolai Novak,MF,21,66,59,78,90,70,58,995000,
68,Kenji Barros,GK,25,42,78,66,51,59,49,657000,
69,Andre Larsson,FW,20,84,42,68,79,67,78,1033000,
70,Kai Novak,GK,26,43,56,46,50,49,45,634000,
71,Tobias Ivanov,DF,28,37,86,93,60,67,71,827000,
72,Ivan Neumann,FW,21,67,47,59,64,59,69,881000,
73,Kai Sokol,MF,27,65,73,53,77,68,62,784000,
74,Hassan Duarte,MF,28,74,70,54,63,67,42,884000,
75,Yusuf Petrov,MF,34,66,51,80,65,64,70,891000,
76,Felix Krause,DF,22,45,86,74,70,68,60,810000,
77,Andre Suarez,FW,30,66,50,92,82,68,72,1041000,
78,Radek Braga,DF,28,57,70,69,83,68,64,872000,
79,Andre Keller,GK,23,34,72,47,68,55,63,755000,
80,Jonas Petrov,FW,29,82,29,60,54,56,69,904000,
81,Diego Novak,FW,20,72,37,69,80,62,61,859000,
82,Yusuf Silva,GK,21,34,75,55,88,61,58,766000,
83,Cesar Bauer,FW,23,64,37,94,53,59,67,705000,
84,Tomas Sato,FW,26,60,31,75,49,51,42,638000,
85,Nico Wallin,MF,23,59,67,76,57,64,45,846000,
86,Sami Adamu,FW,21,70,37,82,85,64,74,845000,
87,Nikolai Moreno,DF,32,58,88,53,49,65,52,756000,
88,Leon Wallin,MF,23,67,47,77,86,66,48,699000,
89,Dario Braga,MF,31,65,46,67,86,63,69,955000,
90,Igor Larsson,MF,31,53,70,68,72,65,80,1021000,
91,Kenji Suarez,FW,21,69,26,73,61,55,53,708000,
92,Sven Fischer,DF,25,48,79,77,52,64,57,749000,
93,Tomas Adeyemi,DF,30,35,83,79,48,61,81,829000,
94,Youssef Fischer,MF,29,68,64,94,88,75,80,933000,
95,Nikolai Osei,DF,25,36,85,66,60,61,45,623000,
96,Tobias Toure,FW,25,65,44,53,58,55,74,917000,
97,Pavel Suarez,FW,32,76,30,80,55,58,53,864000,
98,Rafael Moreno,GK,25,35,71,51,85,58,52,654000,
99,Ivan Keller,DF,31,39,84,59,88,66,73,1061000,
100,Enzo Petrov,DF,19,44,74,89,76,67,46,912000,
101,Andre Sokol,DF,23,51,66,94,67,66,56,754000,
102,Sami Larsson,GK,25,39,74,58,90,63,55,850000,
103,Nico Kucera,FW,21,64,49,90,70,65,82,888000,
104,Amara Ferreira,MF,34,68,56,48,48,57,51,753000,
105,Youssef Kucera,DF,20,35,84,88,62,65,66,950000,
106,Radek Novak,FW,28,81,29,65,52,56,48,613000,
107,Stefan Braga,DF,34,59,67,89,75,70,71,921000,
108,Adrian Novak,MF,19,70,66,72,77,70,58,830000,
109,Leon Krause,DF,34,38,64,47,47,50,49,574000,
110,Tariq Moreno,FW,21,84,38,72,89,68,59,901000,
111,Leon Santos,DF,20,60,63,95,81,71,77,926000,
112,Cesar Mensah,MF,23,62,75,81,47,67,68,953000,
113,Nico Lindqvist,FW,23,68,35,63,66,56,62,794000,
114,Youssef Almeida,MF,19,70,51,94,81,70,60,881000,
115,Tobias Barros,FW,25,87,36,45,76,61,45,809000,
116,Igor Santos,MF,21,51,70,85,86,70,57,816000,
117,Stefan Fischer,DF,27,40,75,58,67,59,74,816000,
118,Enzo Larsson,MF,31,59,48,81,88,65,64,977000,
119,Milan Sato,MF,20,69,68,82,60,69,52,881000,
120,Bruno Rossi,DF,30,50,63,60,69,59,64,833000,
121,Sami Rossi,FW,31,82,50,85,54,67,74,871000,
122,Lars Vidal,FW,32,79,40,82,70,65,64,874000,
123,Sami Sokol,MF,24,57,58,64,62,59,41,724000,
124,Tomas Silva,FW,29,86,48,54,67,65,54,797000,
125,Mateo Malik,MF,24,59,59,83,90,69,61,935000,
126,Pavel Adamu,GK,22,30,74,65,76,59,39,784000,
127,Igor Petrov,GK,32,38,60,92,73,61,64,845000,
128,Leon Ferreira,FW,31,76,44,77,57,63,73,829000,
129,Tobias Costa,FW,25,74,43,72,69,63,40,649000,
130,Adrian Sokol,MF,28,69,50,68,68,63,80,891000,
131,Idris Nowak,MF,28,76,57,95,76,73,51,971000,
132,Emil Santos,DF,31,54,85,84,59,70,76,947000,
133,Leon Suarez,GK,34,31,62,81,50,53,40,709000,
134,Rafael Adeyemi,DF,21,38,86,49,70,61,61,834000,
135,Nikolai Reyes,DF,27,43,87,54,53,61,63,907000,
136,Enzo Sato,GK,26,31,75,79,45,56,41,593000,
137,Tobias Rossi,FW,23,85,35,73,66,63,59,763000,
138,Cesar Malik,GK,19,35,69,79,90,64,54,847000,
139,Radek Haddad,MF,31,61,54,86,89,68,71,805000,
140,Hassan Adeyemi,MF,21,66,58,94,71,69,78,842000,
141,Stefan Neumann,FW,31,85,32,65,69,62,52,739000,
142,Diego Toure,DF,32,35,74,49,65,55,63,793000,
143,Cesar Adeyemi,DF,29,52,76,67,72,66,74,874000,
144,Marco Bauer,MF,33,68,64,51,66,63,52,914000,
145,Sven Kovac,FW,31,80,44,47,81,63,69,1009000,
146,Nikolai Wallin,FW,27,90,44,70,65,67,42,839000,
147,Ivan Osei,FW,32,63,30,73,74,56,38,587000,
148,Jonas Adamu,FW,29,78,46,47,56,58,80,739000,
149,Sami Santos,MF,21,71,70,73,47,67,47,719000,
150,Diego Horvat,GK,30,33,67,50,80,55,50,726000,
151,Lars Osei,FW,20,78,27,45,61,53,46,767000,
152,Enzo Rossi,MF,23,59,53,91,87,68,82,922000,
153,Stefan Horvat,MF,29,74,63,93,82,75,63,1055000,
154,Diego Ivanov,GK,34,32,71,60,62,55,67,717000,
155,Enzo Weber,GK,20,40,79,94,48,64,50,862000,
156,Yusuf Suarez,FW,21,75,37,52,60,56,60,774000,
157,Emil Malik,DF,33,38,72,46,65,55,44,753000,
158,Rui Novak,FW,21,84,44,63,60,63,71,755000,
159,Enzo Mensah,DF,22,37,85,70,45,60,50,737000,
160,Sami Suarez,DF,24,51,73,81,88,70,77,859000,
161,Amara Horvat,MF,22,61,49,62,57,57,79,733000,
162,Jonas Bauer,DF,23,45,71,45,56,55,76,860000,
163,Youssef Sato,GK,23,32,72,58,77,58,50,840000,
164,Youssef Duarte,FW,29,77,33,83,79,64,47,891000,
165,Jonas Costa,DF,25,38,87,74,50,62,69,904000,
166,Kai Wallin,FW,25,64,33,50,64,52,40,734000,
167,Diego Krause,MF,28,61,66,91,60,68,61,945000,
168,Rafael Malik,DF,32,45,63,45,76,56,71,732000,
169,Dario Suarez,FW,33,61,32,50,72,52,42,666000,
170,Bruno Santos,MF,34,54,72,61,48,60,68,948000,
171,Cesar Moreno,DF,20,53,63,73,77,64,50,842000,
172,Marco Sato,DF,33,59,73,59,56,63,76,767000,
173,Idris Krause,DF,32,35,65,92,66,60,74,961000,
174,Tobias Bauer,MF,34,68,55,77,77,67,65,945000,
175,Adrian Horvat,MF,29,54,64,77,53,61,53,683000,
176,Tomas Sokol,MF,19,61,47,78,79,63,62,803000,
177,Enzo Ferreira,DF,23,53,66,59,66,61,74,966000,
178,Kofi Weber,MF,25,67,52,64,75,63,80,885000,
179,Tariq Sato,MF,20,66,69,79,92,74,82,1084000,
180,Jonas Kovac,DF,29,43,86,75,63,66,74,1016000,
181,Felix Berg,FW,32,80,30,56,85,61,69,823000,
182,Marco Krause,MF,23,54,71,85,59,66,44,638000,
183,Andre Malik,DF,28,56,81,82,76,72,66,785000,
184,Yusuf Keller,MF,24,71,65,70,68,68,64,1023000,
185,Leon Malik,MF,29,72,51,89,90,72,64,912000,
186,Stefan Almeida,GK,27,31,57,85,72,56,75,712000,
187,Youssef Costa,DF,26,57,82,69,76,71,60,783000,
188,Stefan Ivanov,FW,22,88,46,93,48,68,43,811000,
189,Rui Duarte,FW,27,90,38,65,53,62,50,802000,
190,Cesar Barros,MF,34,69,65,87,84,74,84,1094000,
191,Milan Moreno,DF,33,53,70,51,73,62,44,612000,
192,Nikolai Horvat,GK,22,38,72,45,88,59,71,900000,
193,Luca Horvat,MF,21,65,73,64,76,69,42,900000,
194,Emil Haddad,MF,34,63,67,58,71,65,63,965000,
195,Nico Moreno,DF,21,50,85,95,92,77,51,827000,
196,Adrian Bauer,DF,31,49,80,46,48,58,59,758000,
197,Kai Adeyemi,DF,29,49,73,91,82,70,54,953000,
198,Marco Mensah,FW,32,89,35,53,69,62,78,866000,
199,Kenji Novak,FW,27,60,34,73,68,55,71,704000,
200,Kofi Reyes,FW,32,60,47,66,52,55,76,896000,
201,Felix Malik,DF,26,57,69,89,74,70,45,921000,
202,Tomas Larsson,DF,31,49,67,93,74,67,66,838000,
203,Rafael Reyes,DF,24,60,74,63,88,70,66,780000,
204,Kofi Suarez,DF,30,46,63,88,68,63,64,718000,
205,Ivan Larsson,DF,25,44,68,59,52,56,70,766000,
206,Pavel Lindqvist,FW,27,90,36,78,78,68,76,839000,
207,Idris Braga,FW,29,65,40,63,53,54,45,752000,
208,Dario Novak,MF,29,63,64,56,79,65,53,695000,
209,Mateo Keller,MF,23,64,59,88,78,69,57,969000,
210,Yusuf Braga,DF,34,44,82,53,85,65,79,811000,
211,Andre Almeida,FW,31,81,40,78,85,68,55,871000,
212,Kwame Fischer,MF,23,53,71,90,86,71,57,766000,
213,Youssef Weber,MF,31,73,46,82,75,66,48,693000,
214,Pavel Barros,FW,26,72,45,64,91,65,71,875000,
215,Tariq Suarez,MF,33,59,48,48,60,54,55,616000,
216,Pavel Toure,FW,21,68,38,64,75,59,74,822000,
217,Pavel Novak,FW,22,75,38,86,66,64,65,974000,
218,Radek Adamu,FW,33,65,46,94,80,67,42,880000,
219,Omar Vidal,DF,34,43,84,60,85,67,53,857000,
220,Kofi Nowak,DF,28,53,71,91,53,66,44,721000,
221,Stefan Santos,MF,26,67,45,85,77,65,66,936000,
222,Hassan Keller,DF,25,39,83,85,46,63,43,706000,
223,Dario Reyes,DF,25,51,85,79,88,74,75,945000,
224,Igor Krause,DF,31,57,75,63,87,69,84,1103000,
225,Hassan Petrov,GK,33,39,69,65,49,55,38,672000,
226,Enzo Keller,DF,34,40,60,71,73,58,69,770000,
227,Omar Malik,MF,27,67,45,51,72,58,44,756000,
228,Youssef Osei,FW,27,85,49,59,63,65,42,678000,
229,Radek Moreno,FW,28,64,36,46,75,54,41,634000,
230,Hassan Novak,DF,29,45,87,88,79,72,59,931000,
231,Tobias Braga,DF,33,45,79,59,86,66,44,874000,
232,Lars Braga,MF,24,67,54,64,55,60,70,936000,
233,Hassan Lindqvist,FW,32,64,43,85,62,61,67,808000,
234,Sven Silva,MF,26,55,62,70,78,64,46,848000,
235,Nikolai Ferreira,MF,28,62,74,60,80,69,56,818000,
236,Ivan Ivanov,DF,21,40,71,64,91,63,54,897000,
237,Felix Bauer,MF,20,77,67,54,74,69,82,1007000,
238,Milan Mensah,MF,33,66,62,51,65,62,50,666000,
239,Kenji Mensah,DF,29,60,64,80,48,63,66,904000,
240,Luca Toure,FW,23,85,30,51,51,55,61,696000,
241,Jonas Keller,GK,33,35,72,91,60,61,46,706000,
242,Andre Ivanov,MF,24,55,68,74,86,68,53,692000,
243,Luca Weber,MF,34,53,51,95,53,60,50,627000,
244,Jonas Krause,DF,23,50,75,60,74,64,65,824000,
245,Kwame Bauer,MF,31,64,66,91,79,72,62,1008000,
246,Ivan Petrov,DF,19,54,77,46,70,63,66,733000,
247,Adrian Weber,MF,29,70,52,48,51,57,56,810000,
248,Adrian Malik,MF,27,77,47,61,57,61,67,736000,
249,Kofi Lindqvist,FW,24,67,36,80,69,60,58,838000,
250,Bruno Malik,DF,23,42,71,56,64,58,38,619000,
251,Sven Braga,DF,26,48,79,92,54,67,82,1090000,
252,Hassan Moreno,DF,20,35,81,79,74,65,59,746000,
253,Cesar Novak,DF,31,48,87,51,60,63,59,826000,
254,Kenji Ferreira,DF,24,55,66,61,87,65,44,691000,
255,Rui Larsson,GK,30,44,75,68,55,60,55,697000,
256,Amara Nowak,MF,19,68,75,89,52,71,51,827000,
257,Emil Braga,MF,25,66,49,69,60,60,50,705000,
258,Youssef Petrov,MF,27,66,56,70,65,63,69,796000,
259,Kwame Novak,DF,28,44,67,70,89,64,51,830000,
260,Mateo Krause,MF,34,63,49,64,69,60,47,668000,
261,Sven Keller,MF,28,67,46,49,75,58,40,659000,
262,Hassan Mensah,GK,26,44,71,73,52,59,49,626000,
263,Adrian Vidal,MF,34,53,66,58,90,65,66,750000,
264,Hassan Santos,DF,25,36,60,58,64,53,79,916000,
265,Tariq Kovac,FW,34,84,39,81,92,70,76,980000,
266,Milan Haddad,DF,25,42,72,89,54,62,71,742000,
267,Enzo Neumann,MF,21,61,59,80,53,62,67,725000,
268,Pavel Berg,MF,22,71,61,90,64,70,73,993000,
269,Lars Suarez,GK,20,42,58,81,60,57,64,828000,
270,Hassan Horvat,GK,27,34,63,53,60,51,69,837000,
271,Emil Rossi,FW,26,84,27,91,80,66,81,980000,
272,Stefan Malik,DF,30,59,85,59,83,72,78,895000,
273,Radek Silva,FW,28,71,36,74,84,63,48,872000,
274,Cesar Haddad,FW,31,76,37,71,83,64,46,741000,
275,Tariq Toure,MF,32,50,64,67,60,59,64,725000,
276,Sami Keller,DF,28,36,65,95,64,61,66,821000,
277,Cesar Adamu,FW,26,79,45,50,51,58,73,895000,
278,Andre Horvat,DF,28,38,80,54,76,61,81,918000,
279,Igor Toure,FW,26,63,25,51,61,48,45,613000,
280,Lars Nowak,GK,26,37,79,63,50,57,76,964000,
281,Kofi Wallin,DF,33,58,88,77,72,74,80,1155000,
282,Dario Petrov,DF,29,49,65,48,61,56,55,668000,
283,Lars Ivanov,DF,28,54,70,87,52,65,73,909000,
284,Kai Malik,MF,31,70,75,64,75,71,53,795000,
285,Lars Neumann,FW,29,63,50,79,56,60,55,694000,
286,Rui Santos,MF,25,69,46,49,57,56,74,833000,
287,Yusuf Horvat,MF,20,54,61,71,74,63,65,867000,
288,Milan Krause,MF,31,61,73,69,73,68,80,927000,
289,Tobias Sokol,FW,30,68,36,62,70,57,42,790000,
290,Omar Nowak,MF,19,70,57,68,61,64,73,855000,
291,Kai Larsson,GK,33,40,58,63,72,56,45,573000,
292,Kai Diallo,DF,28,41,66,92,75,64,52,921000,
293,Nico Vidal,FW,32,85,34,89,49,63,76,960000,
294,Kofi Keller,DF,23,37,70,83,54,59,42,645000,
295,Kenji Toure,GK,20,41,68,71,74,61,78,953000,
296,Tomas Duarte,MF,25,64,65,61,92,69,63,798000,
297,Tomas Osei,MF,32,58,51,54,80,59,81,780000,
298,Mateo Santos,MF,22,65,61,54,48,59,58,864000,
299,Tomas Wallin,DF,23,47,79,88,60,67,63,793000,
300,Stefan Diallo,MF,20,78,62,86,48,69,65,1003000,
301,Andre Neumann,DF,30,41,74,89,61,64,74,801000,
302,Nikolai Costa,FW,28,75,35,56,70,58,52,802000,
303,Cesar Wallin,DF,20,59,75,85,73,71,76,873000,
304,Nikolai Toure,GK,25,36,72,93,91,68,72,994000,
305,Yusuf Lindqvist,FW,27,87,43,55,68,64,47,837000,
306,Cesar Horvat,DF,27,57,64,72,56,62,72,912000,
307,Amara Larsson,DF,20,40,85,89,51,65,57,926000,
308,Diego Weber,FW,20,66,47,81,75,64,52,906000,
309,Emil Diallo,DF,30,41,64,95,79,65,80,953000,
310,Yusuf Bauer,FW,22,81,48,87,92,74,51,724000,
311,Ivan Duarte,FW,25,87,27,95,79,68,59,997000,
312,Amara Lindqvist,FW,23,79,44,57,74,63,44,693000,
313,Stefan Novak,DF,22,50,71,71,66,63,54,890000,
314,Igor Novak,MF,33,66,65,56,47,60,50,874000,
315,Leon Kucera,MF,30,73,63,45,61,63,69,928000,
316,Amara Silva,DF,29,49,64,74,87,65,64,993000,
317,Lars Duarte,MF,29,57,68,87,85,71,46,716000,
318,Sven Sato,DF,34,53,76,58,54,61,69,773000,
319,Sami Fischer,MF,30,77,67,65,91,74,82,1194000,
320,Enzo Kucera,MF,20,55,69,53,72,62,62,920000,
321,Nikolai Larsson,DF,26,52,60,78,57,60,42,760000,
322,Rui Diallo,DF,19,54,78,64,70,66,65,816000,
323,Dario Mensah,DF,32,37,76,86,66,64,40,810000,
324,Nico Toure,DF,33,60,78,83,86,75,58,894000,
325,Igor Bauer,MF,34,50,51,57,92,59,44,810000,
326,Jonas Toure,DF,31,50,60,69,66,60,68,905000,
327,Nikolai Nowak,DF,19,48,83,65,83,69,53,721000,
328,Nico Sokol,FW,33,75,36,75,51,58,58,725000,
329,Youssef Reyes,FW,25,79,45,55,73,63,55,833000,
330,Rafael Kucera,DF,26,47,86,85,68,70,46,802000,
331,Adrian Haddad,MF,26,59,50,55,65,56,79,819000,
332,Enzo Wallin,DF,27,54,81,86,80,73,44,692000,
333,Dario Lindqvist,DF,22,54,74,71,62,65,50,748000,
334,Leon Nowak,FW,29,85,47,52,46,60,77,931000,
335,Kenji Duarte,DF,26,52,71,52,62,60,64,906000,
336,Bruno Wallin,DF,23,43,81,93,91,73,77,1037000,
337,Omar Mensah,FW,32,72,29,56,47,51,61,662000,
338,Tariq Malik,FW,22,78,33,77,88,65,77,812000,
339,Emil Ivanov,DF,32,52,74,71,48,62,49,731000,
340,Idris Lindqvist,MF,27,66,57,80,52,63,51,832000,
341,Tariq Ferreira,GK,29,31,73,92,79,64,42,628000,
342,Felix Adamu,MF,28,56,69,94,48,66,46,706000,
343,Kwame Almeida,MF,32,67,74,82,82,75,76,934000,
344,Enzo Bauer,GK,22,33,59,61,52,50,75,860000,
345,Tariq Adeyemi,MF,33,72,71,53,90,72,64,955000,
346,Enzo Novak,FW,31,79,44,95,65,68,80,806000,
347,Rui Krause,DF,26,52,83,92,79,74,79,1008000,
348,Rafael Wallin,MF,28,65,51,60,62,59,63,731000,
349,Hassan Ivanov,DF,31,43,87,49,62,62,55,839000,
350,Tomas Vidal,MF,25,77,56,50,79,66,73,775000,
351,Diego Bauer,GK,26,41,80,47,67,59,48,771000,
352,Tobias Santos,MF,19,60,71,81,47,65,77,795000,
353,Idris Ferreira,MF,26,60,75,94,76,74,52,1022000,
354,Bruno Nowak,MF,28,75,51,47,65,60,80,907000,
355,Yusuf Novak,MF,20,70,63,59,79,67,74,1060000,
356,Mateo Costa,DF,32,57,67,81,69,67,51,684000,
357,Kwame Kucera,GK,20,37,73,59,45,54,40,588000,
358,Felix Costa,DF,19,49,71,64,59,61,49,792000,
359,Kenji Lindqvist,DF,30,54,73,62,47,60,70,769000,
360,Mateo Ivanov,DF,32,59,88,69,62,71,76,890000,
361,Rafael Horvat,GK,34,39,68,89,91,67,76,828000,
362,Leon Adeyemi,MF,22,76,45,68,66,63,70,1019000,
363,Rui Ivanov,MF,27,55,60,89,76,66,57,919000,
364,Sami Krause,DF,27,55,64,49,75,60,74,823000,
365,Igor Malik,MF,31,68,66,93,57,70,50,923000,
366,Idris Adeyemi,DF,32,51,80,73,62,66,48,823000,
367,Emil Fischer,DF,25,47,82,63,80,67,47,769000,
368,Mateo Almeida,DF,21,46,64,88,75,65,43,839000,
369,Tobias Petrov,MF,24,69,57,54,55,60,47,788000,
370,Milan Bauer,FW,32,67,33,87,54,57,70,908000,
371,Andre Osei,GK,22,38,62,59,53,52,70,833000,
372,Rui Adamu,DF,30,57,67,77,80,68,78,817000,
373,Lars Horvat,FW,21,87,34,94,64,67,55,846000,
374,Enzo Moreno,FW,32,80,40,71,88,67,63,935000,
375,Tomas Diallo,FW,32,73,39,80,80,65,63,740000,
376,Sami Almeida,MF,21,56,50,83,54,59,72,759000,
377,Nikolai Mensah,MF,25,63,67,80,75,70,76,1050000,
378,Omar Rossi,DF,34,47,81,95,86,74,50,1000000,
379,Dario Kucera,GK,34,42,66,59,53,55,60,653000,
380,Sven Adamu,MF,33,60,71,86,56,67,78,1105000,
381,Radek Larsson,GK,29,30,79,55,89,61,58,737000,
382,Youssef Rossi,DF,26,47,82,57,49,60,65,713000,
383,Leon Osei,DF,30,36,70,95,48,60,52,726000,
384,Andre Barros,MF,23,76,62,77,57,68,67,798000,
385,Omar Keller,FW,22,67,37,50,91,59,74,746000,
386,Radek Costa,DF,23,48,63,79,59,60,68,958000,
387,Radek Bauer,MF,19,75,73,91,89,80,73,1064000,
388,Omar Fischer,MF,26,56,56,65,71,60,40,754000,
389,Andre Moreno,FW,20,81,26,56,59,55,73,953000,
390,Lars Barros,MF,25,55,59,71,75,63,60,779000,
391,Tomas Toure,DF,22,38,84,85,90,71,81,978000,
392,Youssef Suarez,FW,31,78,37,88,79,67,56,909000,
393,Tobias Vidal,FW,22,87,31,50,51,56,43,700000,
394,Kenji Silva,DF,25,55,80,94,80,75,76,981000,
395,Emil Wallin,MF,21,74,74,46,60,66,50,689000,
396,Milan Reyes,DF,29,46,85,95,60,70,68,770000,
397,Ivan Bauer,DF,34,57,72,62,77,66,65,856000,
398,Tomas Bauer,MF,23,67,57,86,66,67,78,1004000,
399,Nico Ivanov,GK,30,33,57,69,51,50,51,695000,
